INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
1	A	A	al'-fah	Letter	1	First letter of Greek alphabet.
2	Aarwn	Aaron	ah-ar-ohn'	Proper Name Masculine	2	Aaron = "light-bringer".\The brother of Moses, the first high priest of Israel and head of the whole priestly order.
3	Abaddwn	Abaddon	ab-ad-dohn'	Proper Name Masculine	3	1. To loose any person (or thing) tied or fastened.\    A. Bandages of the feet, the shoes,\    B. Of a husband and wife joined together by the bond of matrimony.\    C. Of a single man, whether he has already had a wife or has not yet married.\2. To loose one bound, i.e. to unbind, release from bonds, set free.\    A. Of one bound up (swathed in bandages).\    B. Bound with chains (a prisoner), discharge from prison, let go.\3. To loosen, undo, dissolve, anything bound, tied, or compacted together.\    A. An assembly, i.e. to dismiss, break up.\    B. Laws, as having a binding force, are likened to bonds.\    C. To annul, subvert.\    D. To do away with, to deprive of authority, whether by precept or act.\    E. To declare unlawful.\    F. To loose what is compacted or built together, to break up, demolish, destroy.\    G. To dissolve something coherent into parts, to destroy.\    H. Metaph., to overthrow, to do away with.
4	abarhV	Abares	ab-ar-ace'	Adjective	4	1. Not burdensome.\2. Not heavy.\3. Light without weight.
5	Abba	Abba	ab-bah'	Noun	5	Abba = "father".\Father, customary title used of God in prayer. Whenever it occurs in the New Testament it has the Greek interpretation joined to it, that is apparently to be explained by the fact that the Chaldee "ABBA" through frequent use in prayer, gradually acquired the nature of a most sacred proper name, to which the Greek speaking Jews added the name from their own tongue.
6	Abel	Abel	ab'-el	Proper Name Masculine	6	Abel = "vanity (that is: transitory)".\The second son of Adam.  From Havel ("Vapor").
7	Abia	Abia	ab-ee-ah'	Proper Name Masculine	7	Abijah = "my father is Jah (Jehovah)".\1. A priest, the head of a priestly family from whom when David divided the priests into 24 classes, Abia was the 8th order.\2. Son and successor to Rehoboam on the throne of Judah.
8	Abiaqar	Abiathar	ab-ee-ath'-ar	Proper Name Masculine	8	Abiathar = "father of abundance".\The title of the priest directly below High Priest.
9	Abilhnh	Abilene	ab-ee-lay-nay'	Proper Name Location	9	Abilene = "grassy meadow".\A region of Syria between Lebanon and Hermon towards Phoenicia, 18 miles (29 km) from Damascus and 37 miles (60 km) from Heliopolis.
10	Abioud	Abioud	ab-ee-ood'	Proper Name Location	10	Abiud = "my father is majesty".\The son of Bela and grandson of Benjamin.
11	Abraam	Abraam	ab-rah-am'	Proper Name Masculine	11	Abraham = "father of a multitude".\The son of Terah and the founder of the Jewish nation.
12	abussoV	Abussos	ab'-us-sos	Noun Feminine	12	1. Bottomless.\2. Unbounded.\3. The abyss.\    A. The pit.\    B. The immeasurable depth.\    C. Of Orcus, a very deep gulf or chasm in the lowest parts of the earth used as the common receptacle of the dead and especially as the abode of demons.
13	AgaboV	Agabos	ag'-ab-os	Proper Name Masculine	13	Agabus = "locust".\A Christian prophet.
14	agaqoergew	Agathoergeo	ag-ath-er-gheh'-o	Verb	14	To work good, to do good, to do well, act rightly.
15	agaqopoiew	Agathopoieo	ag-ath-op-oy-eh'-o	Verb	15	1. To do good, do something which profits others.\    A. To be a good help to someone.\    B. To do someone a favour.\    C. To benefit.\2. To do well, do right.
16	agaqopoiia	Agathopoiia	ag-ath-op-oy-ee'-ah	Noun Feminine	16	A course of right action, well doing, virtue.
17	agaqopoioV	Agathopoios	ag-ath-op-oy-os'	Adjective	17	Acting rightly, doing well, virtuous.
18	agaqoV	Agathos	ag-ath-os'	Adjective	18	1. Of good constitution or nature.\2. Useful, salutary.\3. Good, pleasant, agreeable, joyful, happy.\4. Excellent, distinguished.\5. Upright, honourable.
19	agaqourgew	Agathosune	ag-ath-o-soo'-nay	Noun Feminine	19	Uprightness of heart and life, goodness, kindness.
20	agalliasiV	Agalliasis	ag-al-lee'-as-is	Noun Feminine	20	Exultation, extreme joy, gladness.
21	agalliaw	Agalliao	ag-al-lee-ah'-o	Verb	21	To exult, rejoice exceedingly, be exceeding glad.
22	agamoV	Agamos	ag'-am-os	Adjective	22	Unmarried, unwedded, single.
23	aganaktew	Aganakteo	ag-an-ak-teh'-o	Verb	23	To be indignant, moved with indignation, be very displeased.
24	aganakthsiV	Aganaktesis	ag-an-ak'-tay-sis	Noun Feminine	24	Indignation, irritation, vexation.
25	agapaw	Agapao	ag-ap-ah'-o	Verb	25	1. Of persons.\    A. To welcome, to entertain, to be fond of, to love dearly.\2. Of things.\    A. To be well pleased, to be contented at or with a thing.
26	agaph	Agape	ag-ah'-pay	Noun Feminine	26	1. Brotherly love, affection, good will, love, benevolence.\2. Love feasts.
27	agaphtoV	Agapetos	ag-ap-ay-tos'	Adjective	27	Beloved, esteemed, dear, favourite, worthy of love.
28	Agar	Hagar	ag'-ar	Proper Name Feminine	28	Hagar = "flight".\Abraham's concubine and mother to Ishmael.
29	aggareuw	Aggareuo	ang-ar-yew'-o	Verb	29	To employ a courier, dispatch a mounted messenger, press into public service, compel to go.
30	aggeion	Aggeion	ang-eye'-on	Noun Neuter	30	A vessel, receptacle, a pail, a reservoir.
31	aggelia	Aggelia	ang-el-ee'-ah	Noun Feminine	31	1. Message, announcement, news.\2. A proclamation, command, order.
32	aggeloV	Aggelos	ang'-el-os	Noun Masculine	32	A messenger, envoy, one who is sent, an angel, a messenger from God.
33	age	Age	ag'-eh		33	Go to, come!, come now!
34	agelh	Agele	ag-el'-ay	Noun Feminine	34	Herd or oxen or cattle, a herd or company.
35	agenealoghtoV	Agenealogetos	ag-en-eh-al-og'-ay-tos	Adjective	35	One whose descent there is no record of, without genealogy.
36	agenhV	Agenes	ag-en-ace'	Adjective	36	Ignoble, coward, mean, base, of no family, that is: low born.
37	agiazw	Hagiazo	hag-ee-ad'-zo	Verb	37	1. To render or acknowledge, or to be venerable or hallow.\2. To separate from profane things and dedicate to God.\    A. Consecrate things to God.\    B. Dedicate people to God.\3. To purify.\    A. To cleanse externally.\    B. To purify by expiation: free from the guilt of sin.\    C. To purify internally by renewing of the soul.
38	agiasmoV	Hagiasmos	hag-ee-as-mos'	Noun Masculine	38	1. Consecration, purification.\2. The effect of consecration.\    A. Sanctification of heart and life.
39	agion	Hagion	hag'-ee-on	Adjective	39	1. Reverend, worthy of veneration.\    A. Of things which on account of some connection with God possess a certain distinction and claim to reverence, as places sacred to God which are not to be profaned.\    B. Of persons whose services God employs, for example, apostles.\2. Set apart for God, to be as it were, exclusively his.\3. Services and offerings.\    A. Prepared for God with solemn rite, pure, clean.\4. In a moral sense, pure sinless upright holy.
40	agioV	Hagios	hag'-ee-os	Adjective	40	Most holy thing, a saint, deity.
41	agiothV	Hagiotes	hag-ee-ot'-ace	Noun Feminine	41	1. Sanctity.\2. In a moral sense: holiness.
42	agiwsunh	Hagiosune	hag-ee-o-soo'-nay	Noun Feminine	42	1. Majesty, holiness.\2. Moral purity.
43	agkalh	Agkale	ang-kal'-ay	Noun Feminine	43	1. The curve or inner angle of the arm, the bent arm.\2. Anything closely enfolding, as the arms of the sea, etc.
44	agkistron	Agkistron	ang'-kis-tron	Noun Neuter	44	A fishing hook, a small hook.
