ID	INDEX	LIST
1	0	Alpha
2	0	Aaron
3	0	to dismiss,to loose,to loose one bound,to loosen
4	0	light,not burdensome,not heavy,without weight
5	0	Abba,Father
6	0	Abel
7	0	Abia
8	0	Abiathar
9	0	Abilene
10	0	Abiud
11	0	Abraham
12	0	bottomless,bottomless pit,deep
13	0	Agabus
14	0	act rightly,do good,to do good,to do well,to work good
15	0	to do good,to do right,to do well
16	0	virtue,well doing
17	0	acting rightly,do well,doing well,virtuous
18	0	agreeable,benefit,distinguished,excellent,good,good thing,happy,honourable,joyful,of good,of good constitution or nature,pleasant,salutary,the thing which is good,tthat which is good,upright,useful,well
19	0	goodness,kindness,uprightness of heart and life
20	0	exceeding joy,extreme joy,exultation,gladness,joy
21	0	be exceeding glad,be glad,greatly rejoice,rejoice,to exult,with exceeding joy
22	0	unmarried
23	0	to be indignant,to be much displeased,to be sore displeased,to be very displeased,to have indignation,to moved with indignation,with indignation
24	0	indignation,irritation,vexation
25	0	beloved,love,to be contented at,to be contented with,to be fond of,to be well pleased,to be well pleased,to entertain,to love dearly,to welcome
26	0	charitably,charity,dear,feast of charity,love,Love Feast
27	0	beloved,dear,dearly beloved,esteemed,favourite,well beloved,worthy of love
28	0	Agar
29	0	to compel to go,to dispatch a mounted messenger,to employ a courier,to press into public service
30	0	a pail,a reservoir,a vessel,receptacle,vessel
31	0	a proclamation,announcement,command,message,news,order
32	0	a messenger,a messenger from god,an angel,angel,envoy,messenger,one who is sent
33	0	come now!,come!,go to
34	0	a herd,company,herd
35	0	without descent,without genealogy
36	0	base,base things,coward,ignoble,low born,mean
37	0	glorify,to be free from the guilt of sin,to be hallow,to be hallowed,to be venerable,venerates
38	0	consecration,purification
39	0	offering,reverend,services,set apart for god,worthy of veneration
40	0	a saint,Holy,most holy thing
41	0	holiness,sanctity
42	0	holiness,majesty,moral purity
43	0	arm
44	0	a fishing hook,a small hook,hook
45	0	anchor
46	0	new,undressed,unfulled,unmilled,unprocessed
47	0	purity,sinlessness of life
48	0	morally,to cleanse,to make pure,to purify
49	0	expiation,purification
50	0	ignorant,ignorantly,know not,to be ignorant,to not understand
51	0	error
52	0	ignorance,lack of knowledge,moral blindness
53	0	chaste,clean,exciting reverence,modest,pure,sacred,venerable
54	0	chastity,purity,uprightness of life
55	0	chaste,clean,pure,with sincerity
56	0	ignorance,not knowing,not the knowledge
57	0	forgotten,unknown
58	0	assembly,market,marketplace,place of assembly,street
59	0	bought,to attend the market place,to be in the market place,to buy,to do business,to haunt the market place,to lounge in the market place,to redeem
60	0	baser sort,belonging to the market place,business-like transactions,hucksters,in the market place,law,of the market place,petty traffickers,proper to the assembly,retail dealers,suited to forensic speaking
61	0	booty,draught,haul,hunting,prey
62	0	illiterate,unlearned
63	0	even at night,to abide in the field,to be under the open sky,to live in the fields
64	0	to catch,to hunt,to hunt after,to pursue eagerly,to take by hunting
65	0	olive tree which is wild,wild olive tree
66	0	boorish,furious,raging,rude,uncultivated,unreclaimed,vehement,violent passion,wild
67	0	Agrippa
68	0	country,farm,field,land,piece of ground
69	0	to be attentive,to be circumspect,to be ready,to be sleepless,to keep awake,to watch
70	0	sleeplessness,watching
71	0	to bring,to bring forth,to conduct,to depart,to direct,to go,to guide,to impel,to lead,to lead away,to take with
72	0	manner of life
73	0	an action at law,battle,conflict,contention,fight,race,trial
74	0	agony,anguish,struggle for victory,wrestling
75	0	contend,fight,labour fervently,strive,to endeavour with strenuous zeal
76	0	Adam
77	0	costing nothing,without charge,without expense
78	0	Addi
79	0	sister
80	0	brethren,brother,brother's,brother's way,the brother
81	0	brethren,brotherhood
82	0	indistinct,not manifest,obscure,uncertain
83	0	uncertain,uncertainty
84	0	uncertainly
85	0	be full of heaviness,be troubled,be very heavy,depressed,great anguish,great distress
86	0	the Afterlife,the grave,the realm of the dead
87	0	undistinguished,unintelligible,without partiality
88	0	continual,unceasing,unintermitted
89	0	incessantly,without ceasing,without intermission
90	0	from a derivative of a compound of
91	0	to be an offender,to be unjust,to do wrong,to hurt,to injure,to suffer wrong,to take wrong,to wrong
92	0	evil doing,iniquity,matter of wrong
93	0	iniquity,unjust,unrighteousness,wrong
94	0	deceitful,unjust,unrighteous,wrongfully
95	0	undeserved,unjustly,without fault
96	0	castaway,rejected,reprobate
97	0	guiless,sincere
98	0	Adramyttium
99	0	Adria
100	0	bountiful collection,fulness,great abundance,ripeness,thickness
101	0	be impossible
102	0	could not do,disabled,impossible,impotent,not possible,weak,wealkly
103	0	sing,to praise,to sing
104	0	alway,always,ever,incessantly,invariably,perpetually
105	0	eagle
106	0	unfermented,unleavened,unleavened bread
107	0	Azor
108	0	Azotus
109	0	air
110	0	everlasting,immortality,undying
111	0	contrary to law and justice,criminal,illicit,prohibited by law
112	0	abandoned by the gods,godless,ungodly,without god,worshipping no god
113	0	one who breaks through the restraint of law and gratifies his lusts,wicked
114	0	to disregard,to do away with,to frustrate,to make void,to nullify,to refuse,to reject,to set aside,to slight,to thwart the efficacy of anything
115	0	abolition,disannulling,put away,rejection,to put away
116	0	Athens
117	0	Athenians,of Athens
118	0	to contend for a prize,to contend in public games,to endure,to engage in a contest,to strive,to suffer
119	0	to combat,to contest,to fight,to hard trial,to strive,to struggle
120	0	to be broken in spirit,to be discouraged,to be disheartened,to be dispirited
121	0	innocent,not guilty,unpunished
122	0	goatskin
123	0	shore
124	0	Egyptian
125	0	Egypt
126	0	eternal,everlasting
127	0	a sense of honour,a sense of shame,bashfulness,modesty,regard for others,respect,reverence,shamefacedness
128	0	Ethiopian
129	0	blood
130	0	shedding of blood
131	0	to have a discharge of blood,to lose blood,to suffer from a flow of blood
132	0	Aeneas
133	0	a thank offering,praise
134	0	to allow,to extol,to praise,to promise or vow,to recommend,to sing praises
135	0	darkly,enigma,obscure,riddle
136	0	praise
137	0	Aenon
138	0	to choose,to choose by vote,to elect to office,to prefer
139	0	a sect,act of taking,choice,choosing,that which is chosen
140	0	to belong to a sect,to choose
141	0	able to take,to choose a thing
