Strong	Word	Count
1	Alpha 	4
2	Aaron 	5
3	Abaddon 	1
4	not burdensome 	1
5	Abba 	3
6	Abel 	4
7	Abia 	3
8	Abiathar 	1
9	Abilene 	1
10	Abiud 	2
11	Abraham 	73
12	bottomless pit 	5
12	deep 	2
12	bottomless 	2
13	Agabus 	2
14	do good 	1
15	do good 	7
15	well doing 	2
15	do well 	2
16	well doing 	1
17	do well 	1
18	good 	77
18	good thing 	14
18	tthat which is good 	8
18	the thing which is good	1
18	well 	1
18	benefit 	1
19	goodness 	4
20	gladness 	3
20	joy 	1
20	exceeding joy 	1
21	rejoice 	7
21	be exceeding glad 	1
21	be glad 	1
21	greatly rejoice 	1
21	with exceeding joy 	1
22	unmarried 	4
23	have indignation 	2
23	be much displeased 	2
23	with indignation 	2
23	be sore displeased 	1
24	indignation 	1
25	love 	135
25	beloved 	7
26	love 	86
26	charity 	27
26	dear 	1
26	charitably 	1
26	feast of charity 	1
27	beloved 	47
27	dearly beloved 	9
27	well beloved 	3
27	dear 	3
28	Agar 	2
29	compel to go 	3
30	vessel 	2
31	message 	1
32	angel 	179
32	messenger 	7
33	go to 	2
34	herd 	8
35	without descent 	1
36	base things 	1
37	sanctify 	26
37	hallow 	2
37	be holy 	1
38	holiness 	5
38	sanctification 	5
39	sanctuary 	4
39	holy place 	3
39	holiest of all 	3
39	holiness 	1
40	holy 	161
40	saints 	61
40	Holy One 	4
40	miscellaneous 	3
41	holiness 	1
42	holiness 	3
43	arm 	1
44	hook 	1
45	anchor 	4
46	new 	2
47	purity 	2
48	purify 	5
48	purify (one's) self 	2
49	purification 	1
50	be ignorant 	7
50	ignorant 	4
50	know not 	4
50	understand not 	3
50	ignorantly 	2
50	unknown 	2
51	error 	1
52	ignorance 	4
53	pure 	4
53	chaste 	3
53	clear 	1
54	pureness 	1
55	sincerely 	1
56	not the knowledge 	1
56	ignorance 	1
57	unknown 	1
58	market 	6
58	marketplace 	4
58	street 	1
59	buy 	28
59	redeem 	3
60	baser sort 	1
60	law 	1
61	draught 	2
62	unlearned 	1
63	abide in the field 	1
64	catch 	1
65	wild olive tree 	1
65	olive tree which is wild 	1
66	wild 	2
66	raging 	1
67	Agrippa 	12
68	field 	22
68	country 	8
68	land 	4
68	farm 	1
68	piece of ground 	1
69	watch 	4
70	watching 	2
71	bring 	45
71	lead 	12
71	go 	7
71	bring forth 	2
71	miscellaneous 	5
71	vr bring 	1
72	manner of life 	1
73	conflict 	2
73	fight 	2
73	contention 	1
73	race 	1
74	agony 	1
75	strive 	3
75	fight 	3
75	labour fervently 	1
76	Adam 	9
77	without charge 	1
78	Addi 	1
79	sister 	24
80	brethren 	226
80	brother 	113
80	brother's 	6
80	brother's way 	1
81	brotherhood 	1
81	brethren 	1
82	appear not 	1
82	uncertain 	1
83	uncertain 	1
84	uncertainly 	1
85	be very heavy 	2
85	be full of heaviness 	1
86	hell 	10
86	grave 	1
87	without partiality 	1
88	continual 	1
88	without ceasing 	1
89	without ceasing 	4
90	from a derivative of a compound of 1 (as a negative particle) and a derivative of 	1311
91	hurt 	10
91	do wrong 	8
91	wrong 	2
91	suffer wrong 	2
91	be unjust 	2
91	take wrong 	1
91	injure 	1
91	be an offender 	1
91	vr 	
92	matter of wrong 	1
92	evil doing 	1
92	iniquity 	1
93	unrighteousness 	16
93	iniquity 	6
93	unjust 	2
93	wrong 	1
94	unjust 	8
94	unrighteous 	4
95	wrongfully 	1
96	reprobate 	6
96	castaway 	1
96	rejected 	1
97	sincere 	1
98	Adramyttium 	1
99	Adria 	1
100	abundance 	1
101	be impossible 	2
102	impossible 	6
102	impotent 	1
102	could not do 	1
102	weak 	1
102	not possible 	1
103	sing 	5
104	alway 	4
104	always 	3
104	ever 	1
105	eagle 	4
106	unleavened bread 	8
106	unleavened 	1
107	Azor 	2
108	Azotus 	1
109	air 	7
110	immortality 	3
111	unlawful thing 	1
111	abominable 	1
111	abominable 	1
112	without God 	1
113	wicked 	2
114	despise 	8
114	reject 	4
114	bring to nothing 	1
114	frustrate 	1
114	disannul 	1
114	cast off 	1
115	disannulling 	1
115	to put away 	1
116	Athens 	6
117	Athenians 	1
117	of Athens 	1
118	strive 	2
119	fight 	1
120	be discouraged 	1
121	innocent 	2
122	goatskin 	1
123	shore 	6
124	Egyptian 	3
124	Egyptians 	2
125	Egypt 	24
126	eternal 	1
126	everlasting 	1
127	shamefacedness 	1
127	reverence 	1
128	Ethiopian 	2
129	blood 	99
130	shedding of blood 	1
131	diseased with an issue of blood 	1
132	Aeneas 	2
133	praise 	1
134	praise 	9
135	darkly 	1
136	praise 	2
137	Aenon 	1
138	choose 	3
139	sect 	5
139	heresy 	4
140	choose 	1
141	that is a heretic 	1
142	take up 	32
142	take away 	25
142	take 	25
142	away with 	5
142	lift up 	4
142	bear 	3
142	miscellaneous 	8
143	perceive 	1
144	judgment 	1
145	senses 	1
146	greedy of filthy lucre 	2
146	given to filthy lucre 	1
147	for filthy lucre 	1
148	filthy communication 	1
149	shame 	3
150	filthy 	1
151	filthiness 	1
152	shame 	5
152	dishonesty 	1
153	be ashamed 	5
154	ask 	48
154	desire 	17
154	beg 	2
154	require 	2
154	crave 	1
154	call for 	1
155	require 	1
155	request 	1
