KJV	Modern Definition
Abase	To make or bring low, to humble
Abased	Humbled
Abate	To diminish, lessen
Abba	Aramaic/Hebrew for "father"
Abhor	To shrink from, be averse to, differ from, despise, spurn, regard with horror
Abide	Wait, stay, remain, endure
Abjects	Revilers, those who strike out with their tongue
Abode	Remained
Abominable	Detestable, impure, stinking
Abomination	Detestable, impure, stinking
Abound	Many, over and above, enough
Abounding	Many, over and above, enough
About	Around
Abroad	Broadly, outside, away from, become known
Accept	Approve, be gracious to, show partiality to
Acceptable	Pleasing, gratifying, agreeable, welcome
Account	Reckon, thought, answer
Accounted	Reckon, thought, answer
Acquaint	To get to know something or someone
Acquit	To hold guiltless
Adamant	A very hard stone, an extremely hard substance
Adder	A venomous snake
Addicted	Devoted to, given over to
Adjure	Request, demand of, to appeal to earnestly, to command
Admiration	Wonder, astonishment, to marvel at
Admire	Wonder, astonishment, to marvel at
Admonish	Testify, recommend, say repeatedly, to instruct, advise, warn
Admonition	Testify, recommend, say repeatedly, instruction
Ado	Fuss, bother, tumult
Adoption	Son-ship
Adventure	To chance, to risk, attempt
Advertise	To tell or inform
Advice	To take counsel with, or consult, to be discreet
Advise	To take counsel with, or consult, to be discreet
Affect	To try to obtain something, to aspire to something, make an effort, to use zeal
Affection	An emotion (not necessarily favorable)
Affections	Passions
Affinity	A marriage relationship or alliance
Afflict soul	Fast (abstain from eating)
Affright	Terrify
Affrighted	Terrify
Afoot	By feet, performed by foot
Afore	A prior time, previously, before
Aforehand	A prior time, previously
Aforetime	A prior time, previously, at a former time, previously
Afresh	Anew, again
After	Similar to, like something, according to
After a time	Immediately
Again	Back
Against	Opposite, across from, confronting, by
Agone	Ago, gone by, past, ago
Ague	Fever
Alarm	To arms, a call to battle
Albeit	All be it, shortened form of "although it be that", even though, although
All the world	Roman empire
Allege	To prove, to show evidence
Alleluia	Praise ye the LORD!
Allied	Joined by marriage, kinship, or treaty
Allow	To praise, approve or accept
Alms	Acts and deeds of mercy
Almsdeed	An act of kindness
Aloof	At a distance, but within view
Amaze	Stun, terrify, faint
Amazement	Stun, terrified, faint
