ID	word	Body
1	Abase	(1: tapeinoo; Strong # 5013)\signifies "to make low, bring low," \    (a) of bringing to the ground, making level, reducing to a plain, as in Luke 3:5; \    (b) metaphorically in the Active Voice, to bring to a humble condition, "to abase," 2 Cor. 11:7, and in the Passive, "to be abased," Phil. 4:12; in Matt. 23:12; Luke 14:11; 18:14, the AV has "shall be abased," the RV "shall be humbled." It is translated "humble yourselves" in the Middle Voice sense in Jas. 4:10; 1 Pet. 5:6; "humble," in Matt. 18:4; 2 Cor. 12:21 and Phil. 2:8. See HUMBLE, LOW. Cp., {tapeinoV}, "lowly," {tapeinoiV}, "humiliation," and {tapeinophrosune}, "humility."
2	Abba	(1: abba; Strong # 5)\is an Aramaic word, found in Mark 14:36; Rom. 8:15 and Gal. 4:6. In the Gemara (a Rabbinical commentary on the Mishna, the traditional teaching of the Jews) it is stated that slaves were forbidden to address the head of the family by this title. It approximates to a personal name, in contrast to "Father," with which it is always joined in the NT. This is probably due to the fact that, {abba} having practically become a proper name, Greek-speaking Jews added the Greek word {pater}, "father," from the language they used. {Abba} is the word framed by the lips of infants, and betokens unreasoning trust; "father" expresses an intelligent apprehension of the relationship. The two together express the love and intelligent confidence of the child.
3	Abhor	(1: apostugeo; Strong # 655)\denotes "to shudder" ({apo}, "from," here used intensively, {stugeo}, "to hate") hence, "to abhor," Rom. 12:9. \\(2: bdelusso; Strong # 948)\"to render foul" (from {bdeo}, "to stink"), "to cause to be abhorred" (in the Sept. in Exod. 5:21; Lev. 11:43; 20:25, etc.), is used in the Middle Voice, signifying "to turn oneself away from" (as if from a stench); hence, "to detest," Rom. 2:22. In Rev. 21:8 it denotes "to be abominable." See ABOMINABLE.
4	Abide, Abode	(A-1, Verb: meno; Strong # 3306)\used \    (a) of place, e.g., Matt. 10:11, metaphorically 1 John 2:19, is said of God, 1 John 4:15; Christ, John 6:56; 15:4, etc.; the Holy Spirit, John 1:32,33; 14:17; believers, John 6:56; 15:4; 1 John 4:15, etc.; the Word of God, 1 John 2:14; the truth, 2 John 1:2, etc.; \    (b) of time; it is said of believers, John 21:22,23; Phil. 1:25; 1 John 2:17; Christ, John 12:34; Heb. 7:24; the Word of God, 1 Pet. 1:23; sin, John 9:41; cities, Matt. 11:23; Heb. 13:14; bonds and afflictions, Acts 20:23; \    (c) of qualities; faith, hope, love, 1 Cor. 13:13; Christ's love, John 15:10; afflictions, Acts 20:23; brotherly love, Heb. 13:1; the love of God, 1 John 3:17; the truth, 2 John 1:2. The RV usually translates it by "abide," but "continue" in 1 Tim. 2:15; in the following, the RV substitutes "to abide" for the AV, "to continue," John 2:12; 8:31; 15:9; 2 Tim. 3:14; Heb. 7:24; 13:14; 1 John 2:24. Cp. the noun {mone}, below. See CONTINUE, DWELL, ENDURE, REMAIN, STAND, TARRY.\\(A-2, Verb: epimeno; Strong # 1961)\"to abide in, continue in, tarry," is a strengthened form of {meno} ({epi}, "intensive"), sometimes indicating perseverance in continuing, whether in evil, Rom. 6:1; 11:23, or good, Rom. 11:22; 1 Tim. 4:16. See CONTINUE, TARRY.\\(A-3, Verb: katameno; Strong # 2650)\{kata}, "down" (intensive), and No. 1, is used in Acts 1:13. The word may signify "constant residence," but more probably indicates "frequent resort." In 1 Cor. 16:6, it denotes "to wait."\\(A-4, Verb: parameno; Strong # 3887)\"to remain beside" ({para}, "beside"), "to continue near," came to signify simply "to continue," e.g., negatively, of the Levitical priests, Heb. 7:23. In Phil. 1:25, the Apostle uses both the simple verb {meno} and the compound {parameno} (some mss. have {sumparameno}), to express his confidence that he will "abide," and "continue to abide," with the saints. In 1 Cor. 16:6 some mss. have this word. In Jas. 1:25, of steadfast continuance in the law of liberty. See CONTINUE.\\(A-5, Verb: hupomeno; Strong # 5278)\lit., "to abide under" ({hupo}, "under"), signifies "to remain in a place instead of leaving it, to stay behind," e.g., Luke 2:43; Acts 17:14; or "to presevere," Matt. 10:22; 24:13; Mark 13:13; in each of which latter it is used with the phrase "unto the end;" or "to endure bravely and trustfully," e.g., Heb. 12:2,3,7, suggesting endurance under what would be burdensome. See also Jas. 1:12; 5:11; 1 Pet. 2:20. Cp. {makrothumeo}, "to be longsuffering." See ENDURE, SUFFER, TAKE, Notes (12), TARRY.\\(A-6, Verb: prosmeno; Strong # 4357)\"to abide still longer, continue with" ({proV}, "with") is used \    (a) of place, Matt. 15:32; Mark 8:2; Acts 18:18; 1 Tim. 1:3; \    (b) metaphorically, "of cleaving unto a person," Acts 11:23, indicating persistent loyalty; of continuing in a thing, Acts 13:43; 1 Tim. 5:5. See CLEAVE, CONTINUE, TARRY. In the Sept. Judg. 3:25.\\(A-7, Verb: diatribo; Strong # 1304)\lit., "to wear through by rubbing, to wear away" ({dia}, "through," {tribo}, "to rub"), when used of time, "to spend or pass time, to stay," is found twice in John's Gospel, 3:22 and 11:54, RV "tarried," instead of "continued;" elsewhere only in the Acts, eight times, 12:19; 14:3,28; 15:35; 16:12; 20:6; 25:6,14. See CONTINUE, TARRY.\\(A-8, Verb: anastrepho; Strong # 390)\used once in the sense of "abiding," Matt. 17:22, frequently denotes "to behave oneself, to live a certain manner of life;" here the most reliable mss. have {sustrephomai}, "to travel about." See BEHAVE, CONVERSATION, LIVE, OVERTHROW, PASS, RETURN.\\(A-9, Verb: aulizomai; Strong # 835)\"to lodge," originally "to lodge in the {aule}, or courtyard," is said of shepherds and flocks; hence, to pass the night in the open air, as did the Lord, Luke 21:37; "to lodge in a house," as of His visit to Bethany, Matt. 21:17.\\(A-10, Verb: agrauleo; Strong # 63)\"to lodge in a fold in a field" ({agroV}, "a field," {aule}, "a fold"), is used in Luke 2:8. See LODGE.\\(A-11, Verb: histemi; Strong # 2476)\"to stand, to make to stand," is rendered "abode" in John 8:44, AV; "continue," in Acts 26:22. In these places the RV corrects to "stood" and "stand." This word is suggestive of fidelity and stability. It is rendered "lay...to the charge" in Acts 7:60. See APPOINT, CHARGE, ESTABLISH, HOLDEN, PRESENT, SET, STANCH, STAND.\\(A-12, Verb: poieo; Strong # 4160)\"to do, make," is used of spending a time or tarrying, in a place, Acts 15:33; 20:3; in 2 Cor. 11:25 it is rendered "I have been (a night and a day);" a preferable translation is "I have spent," as in Jas. 4:13, "spend a year" (RV). So in Matt. 20:12. Cp., the English idiom "did one hour;" in Rev. 13:5 "continue" is perhaps the best rendering. See DO.\\(B-1, Noun: mone; Strong # 3438)\"an abode" (akin to No. 1), is found in John 14:2, "mansions" (RV marg., "abiding places"), and John 14:23, "abode."
5	Ability, Able	(A-1, Noun: dunamiV; Strong # 1411)\is \    (a) "power, ability," physical or moral, as residing in a person or thing; \    (b) "power in action," as, e.g., when put forth in performing miracles. It occurs 118 times in the NT. It is sometimes used of the miracle or sign itself, the effect being put for the cause, e.g., Mark 6:5, frequently in the Gospels and Acts. In 1 Cor. 14:11 it is rendered "meaning;" "force" would be more accurate. Cp., the corresponding verbs, B.1,2,3 and the adjective C.1, below. See ABUNDANCE, DEED, MIGHT, POWER, STRENGTH, VIOLENCE, VIRTUE, WORK. \\(A-2, Noun: ischuV; Strong # 2479)\connected with {ischo} and {echo}, "to have, to hold" (from the root {ech}, signifying "holding"), denotes "ability, force, strength;" "ability" in 1 Pet. 4:11, AV (RV, "strength"). In Eph. 1:19 and 6:10, it is said of the strength of God bestowed upon believers, the phrase "the power of His might" indicating strength afforded by power. In 2 Thess. 1:9, "the glory of His might" signifies the visible expression of the inherent personal power of the Lord Jesus. It is said of angels in 2 Pet. 2:11 (cp., Rev. 18:2, AV, "mightily"). It is ascribed to God in Rev. 5:12; 7:12. In Mark 12:30,33; Luke 10:27 it describes the full extent of the power wherewith we are to love God. See MIGHT, POWER, STRENGTH.\\(B-1, Verb: dunamai; Strong # 1410)\"to be able, to have power," whether by virtue of one's own ability and resources, e.g., Rom. 15:14; or through a state of mind, or through favorable circumstances, e.g., 1 Thess. 2:6; or by permission of law or custom, e.g., Acts 24:8, 11; or simply "to be able, powerful," Matt. 3:9; 2 Tim. 3:15, etc. See CAN, MAY, POSSIBLE, POWER.\\(B-2, Verb: dunamoo; Strong # 1412)\"to make strong, confirm," occurs in Col. 1:11 (some authorities have the 1st aorist or momentary tense, in Heb. 11:34 also). Cp. {endunamoo}, "to enable, strengthen."\\(B-3, Verb: dunateo; Strong # 1414)\signifies "to be mighty, to show oneself powerful," Rom. 4:14; 2 Cor. 9:8; 13:3. See A, No. 1.\\(B-4, Verb: ischuo; Strong # 2480)\akin to A, No. 2, "to be strong, to prevail," indicates a more forceful strength or ability than {dunamai}, e.g., Jas. 5:16, where it is rendered "availeth much" (i.e., "prevails greatly"). See AVAIL, CAN, DO, MAY, PREVAIL, STRENGTH, WORK.\\Note: Still stronger forms are {exischuo}, "to be thoroughly strong," Eph. 3:18, "may be strong" (not simply "may be able," AV); {katischuo}, Matt. 16:18; Luke 23:23, in the former, of the powerlessness of the gates of Hades to prevail against the Church; in the latter, of the power of a fierce mob to prevail over a weak ruler (see Notes on Galatians, by Hogg and Vine, p. 251); also Luke 21:36. The prefixed prepositions are intensive in each case.\\(B-5, Verb: echo; Strong # 2192)\"to have," is translated "your ability" in 2 Cor. 8:11, and "ye may be able" in 2 Pet. 1:15, and is equivalent to the phrase "to have the means of." See CAN, HAVE.\\(B-6, Verb: euporeo; Strong # 2141)\lit, "to journey well" ({eu}, "well," {poreo}, "to journey"), hence, "to prosper," is translated "according to (his) ability," in Acts 11:29.\\Note: {Hikanoo}, corresponding to the adjective {hikanoV} (see below) signifies "to make competent, qualify, make sufficient;" in 2 Cor. 3:6, AV, "hath made (us) able;" RV, "hath made us sufficient;" in Col. 1:12, "hath made (us) meet." See ENOUGH, SUFFICIENT.\\(C-1, Adjective: dunatoV; Strong # 1415)\corresponding to A, No. 1, signifies "powerful." See, e.g., Rom. 4:21; 9:22; 11:23; 12:18; 15:1; 1 Cor. 1:26; 2 Cor. 9:8. See MIGHTY, POSSIBLE, POWER, STRONG.\\(C-2, Adjective: hikanoV; Strong # 2425)\translated "able," is to be distinguished from {dunatoV}. While {dunatoV} means "possessing power," {hikanoV}, primarily, "reaching to," has accordingly the meaning "sufficient." When said of things it signifies "enough," e.g., Luke 22:38; when said of persons, it means "competent," "worthy," e.g. 2 Cor. 2:6,16; 3:5; 2 Tim. 2:2. See CONTENT, ENOUGH, GOOD, GREAT, LARGE, LONG, MANY, MEET, MUCH, SECURITY, SUFFICIENT, WORTHY.\\Note: {IschuroV} denotes "strong, mighty;" in an active sense, "might," in having inherent and moral power, e.g., Matt. 12:29; 1 Cor. 4:10; Heb. 6:18.
6	Aboard	(1: epibaino; Strong # 1910)\"to go upon" ({epi}, "upon," {baino}, "to go"), is once translated "we went aboard," Acts 21:2, the single verb being short for "going aboard ship." In Acts 21:6 it is rendered "we went on board;" in Acts 27:2 "embarking;" in Matt. 21:5, "riding upon." See COME, No. 16.
7	Abolish	(1: katargeo; Strong # 2673)\lit., "to reduce to inactivity" ({kata}, "down," {argoV}, "inactive"), is translated "abolish" in Eph. 2:15; 2 Tim. 1:10, in the RV only in 1 Cor. 15:24,26. It is rendered "is abolished" in the AV of 2 Cor. 3:13; the RV corrects to "was passing away" (marg., "was being done away"). In this and similar words not loss of being is implied, but loss of well being. The barren tree was cumbering the ground, making it useless for the purpose of its existence, Luke 13:7; the unbelief of the Jews could not "make of none effect" the faithfulness of God, Rom. 3:3; the preaching of the Gospel could not "make of none effect" the moral enactments of the Law, Rom. 3:31; the Law could not make the promise of "none effect," Rom. 4:14; Gal. 3:17; the effect of the identification of the believer with Christ in His death is to render inactive his body in regard to sin, Rom. 6:6; the death of a woman's first husband discharges her from the law of the husband, that is, it makes void her status as his wife in the eyes of the law, Rom. 7:2; in that sense the believer has been discharged from the Law, Rom. 7:6; God has chosen things that are not "to bring to nought things that are," i.e., to render them useless for practical purposes, 1 Cor. 1:28; the princes of this world are "brought to nought," i.e., their wisdom becomes ineffective, 1 Cor. 2:6; the use for which the human stomach exists ceases with man's death, 1 Cor. 6:13; knowledge, prophesyings, and that which was in part were to be "done away," 1 Cor. 13:8,10, i.e., they were to be rendered of no effect after their temporary use was fulfilled; when the Apostle became a man he did away with the ways of a child, 1 Cor. 13:11; God is going to abolish all rule and authority and power, i.e., He is going to render them inactive, 1 Cor. 15:24; the last enemy that shall be abolished, or reduced to inactivity, is death, 1Cor 15:26; the glory shining in the face of Moses, "was passing away," 2 Cor. 3:7, the transitoriness of its character being of a special significance; so in 2 Cor. 3:11,13; the veil upon the heart of Israel is "done away" in Christ, 2 Cor. 3:14; those who seek justification by the Law are "severed" from Christ, they are rendered inactive in relation to Him, Gal. 5:4; the essential effect of the preaching of the Cross would become inoperative by the preaching of circumcision, Gal. 5:11; by the death of Christ the barrier between Jew and Gentile is rendered inoperative as such, Eph. 2:15; the Man of Sin is to be reduced to inactivity by the manifestation of the Lord's Parousia with His people, 2 Thess. 2:8; Christ has rendered death inactive for the believer, 2 Tim. 1:10, death becoming the means of a more glorious life, with Christ; the Devil is to be reduced to inactivity through the death of Christ, Heb. 2:14. See CEASE, CUMBER, DESTROY, DO, Note (7), OF NONE EFFECT, NOUGHT, PUT, No. 19, VOID.
8	Abominable, Abomination	(A-1, Adjective: athemitoV; Strong # 111)\occurs in Acts 10:28, "unlawful," and 1 Pet. 4:3, "abominable" ({a}, negative, {themitoV}, an adjective from {themiV}, "law"), hence, "unlawful." See UNLAWFUL. \\(A-2, Adjective: bdeluktoV; Strong # 947)\Titus 1:16, is said of deceivers who profess to know God, but deny Him by their works.\\(B-1, Verb: bdelusso; Strong # 948)\see ABHOR, No. 2.\\(C-1, Noun: bdelugma; Strong # 946)\akin to A, No. 2 and B, denotes an "object of disgust, an abomination." This is said of the image to be set up by Antichrist, Matt. 24:15; Mark 13:14; of that which is highly esteemed amongst men, in contrast to its real character in the sight of God, Luke 16:15. The constant association with idolatry suggests that what is highly esteemed among men constitutes an idol in the human heart. In Rev. 21:27, entrance is forbidden into the Holy City on the part of the unclean, or one who "maketh an abomination and a lie." It is also used of the contents of the golden cup in the hand of the evil woman described in Rev. 17:4, and of the name ascribed to her in the following verse.
9	Abound	* For ABOUND see ABUNDANCE
10	About	(A-1, Adverb: kuklothen; Strong # 2943)\"round about, or all round" (from {kukloV}, "a circle, cycle"), is found in the Apocalypse only, 4:3,4,8. \\(A-2, Adverb: kuklo; Strong # 2945)\the dative case of {kukloV} (see above), means "round about," lit., "in a circle." It is used in the same way as No. 1, Mark 3:34; 6:6,36; Luke 9:12; Rom. 15:19; Rev. 4:6; 5:11; 7:11.\\(A-3, Adverb: pou; Strong # 4225)\an indefinite particle, signifying "somewhere, somewhere about, nearly," has a limiting force, with numerals, e.g., Rom. 4:19. In referring to a passage in the OT, it is translated "somewhere," in the RV of Heb. 2:6; 4:4 (AV, "in a certain place"); by not mentioning the actual passage referred to, the writer acknowledged the familiar acquaintance of his readers with the OT. See PLACE.\\(A-4, Adverb: hoV; Strong # 5613)\usually means "as." Used with numerals it signifies "about," e.g., Mark 5:13; 8:9 John 1:40; 6:19; 11:18; Acts 1:15; Rev. 8:1.\\(A-5, Adverb: hosei; Strong # 5616)\"as if," before numerals, denotes "about, nearly, something like," with perhaps an indication of greater indefiniteness than No. 4, e.g., Matt. 14:21; Luke 3:23; 9:14,28; Acts 2:41; with a measure of space, Luke 22:41, "about a stone's cast." See LIKE.\\(B-1, Verb: mello; Strong # 3195)\signifies \    (a) "of intention, to be about to do something," e.g., Acts 3:3; 18:14; 20:3; Heb. 8:5; \    (b) "of certainty, compulsion or necessity, to be certain to act," e.g., John 6:71. See ALMOST, BEGIN, COME, INTEND, MEAN, MIND, POINT OF (at), READY, SHALL, SHOULD, TARRY.\\Note: {Zeteo}, "to seek," is translated "were about" in the AV of Acts 27:30; RV, correctly, "were seeking to."
